#F1	F2	d
MZ22523692	MZ22505011	0.3408
MZ22529702	MZ22521881	0.5882
MZ22527863	MZ22503507	0.3122
MZ22528744	MZ22505819	0.1764
MZ22509382	MZ22509421	0.2958
MZ22521943	MZ22514954	0.0856
MZ22527217	MZ22521950	0.1566
MZ22525273	MZ22520475	0.3881
MZ22526790	MZ22523853	0.0726
MZ22520745	MZ22511648	0.2983
MZ22523815	MZ22513637	0.0642
MZ22525368	MZ22523606	0.3214
MZ22520865	MZ22512407	0.1796
MZ22529288	MZ22501246	0.1309
MZ22519837	MZ22503215	0.7313
MZ22527635	MZ22524334	0.0978
MZ22528855	MZ22528853	0.7129
MZ22513037	MZ22503206	0.4230
MZ22527657	MZ22522966	0.3905
MZ22528622	MZ22510516	0.6884
MZ22528705	MZ22503972	0.5612
MZ22527514	MZ22502852	0.1607
MZ22531131	MZ22509291	0.1222
MZ22521510	MZ22500041	0.0866
MZ22521293	MZ22503707	0.1210
MZ22530383	MZ22515343	0.1779
MZ22510313	MZ22501350	0.3633
MZ22521852	MZ22510939	0.4467
MZ22526042	MZ22511102	0.1966
MZ22526006	MZ22508840	0.7086
MZ22527389	MZ22519983	0.4944
MZ22529682	MZ22507224	0.3168
MZ22527144	MZ22523230	0.1275
MZ22529741	MZ22530769	0.6323
MZ22502847	MZ22500081	0.6226
MZ22522460	MZ22516498	0.0961
MZ22515566	MZ22504166	0.7125
MZ22525480	MZ22526285	0.1682
MZ22508479	MZ22500529	0.2736
MZ22522010	MZ22508176	0.4215
MZ22520632	MZ22512331	0.2803
MZ22525763	MZ22506405	0.1116
MZ22522068	MZ22502274	0.1769
MZ22528398	MZ22500137	0.0643
MZ22515656	MZ22504493	0.5396
MZ22529117	MZ22506886	0.2599
MZ22525034	MZ22522293	0.7194
MZ22521165	MZ22500683	0.3215
MZ22525944	MZ22507890	0.4840
MZ22522432	MZ22512563	0.0726
MZ22529713	MZ22521813	0.1893
MZ22524881	MZ22521782	0.3989
MZ22509687	MZ22501044	0.4080
MZ22523429	MZ22501351	0.1837
MZ22523000	MZ22505804	0.4193
MZ22518791	MZ22505694	0.5508
MZ22522609	MZ22513300	0.3585
MZ22510098	MZ22500810	0.1941
MZ22512121	MZ22500403	0.4366
MZ22526487	MZ22512400	0.3370
MZ22503603	MZ22500314	0.2484
MZ22521960	MZ22504163	0.3741
MZ22528949	MZ22503748	0.2017
MZ22507470	MZ22506754	0.4036
MZ22530632	MZ22517414	0.4545
MZ22513602	MZ22501433	0.2381
MZ22525662	MZ22522999	0.3037
MZ22528340	MZ22500040	0.0673
MZ22521159	MZ22506092	0.7268
MZ22525567	MZ22516756	0.2440
MZ22525704	MZ22518682	0.6423
MZ22526726	MZ22508643	0.7475
MZ22525671	MZ22520919	0.1370
MZ22527359	MZ22511701	0.0644
MZ22530592	MZ22503391	0.1060
MZ22520378	MZ22519192	0.0906
MZ22526072	MZ22510478	0.1525
MZ22528612	MZ22515266	0.1350
MZ22511067	MZ22500665	0.2378
MZ22526138	MZ22517955	0.0772
MZ22515991	MZ22500472	0.4050
MZ22517204	MZ22516876	0.6757
MZ22513306	MZ22501365	0.2732
